Name,Price,Rating,Image URL,image_link
Waterproof Military Sport Watches Men Digital Quartz Watch Clocks Big Screen Wacth,"KSh 1,290",(1),Oversea Shipment,google.com
Ms Watch Fashion Diamond Wacth Color Printing Straps Silica Gel Watches,KSh 999,(0),Oversea Shipment,google.com
Fashion Ms Watch Belt Student Wacth Simple Personality Ms Watch Fashion Wacthes,KSh 999,(0),Oversea Shipment,google.com
Fashion Trend Leisure Simple Color Watch With A Bearded Wacth,KSh 999,(0),Oversea Shipment,google.com
Samsung Galaxy ZFold 5 12GB 512GB Mobile Phone,"Ksh183,000","(Ksh212,280 Inc VAT)",Shopit,https://shopit.co.ke/images/thumbnails/270/270/detailed/117/1_qfkv-vw.jpg.jpg
Infinix Note 30 8GB 256GB Mobile Phone,"Ksh22,500","(Ksh26,100 Inc VAT)",Shopit,https://shopit.co.ke/images/thumbnails/270/270/detailed/115/x6716_note30i_base1_2_3_1.png.jpg
Nokia X30 5G 8GB 256GB Mobile Phone,"Ksh59,000","(Ksh68,440 Inc VAT)",Shopit,https://shopit.co.ke/images/thumbnails/270/270/detailed/115/X30G-removebg-preview.png.jpg
Tecno Phantom V Fold 5G 12GB 256GB Mobile Phone,"Ksh126,500","(Ksh146,740 Inc VAT)",Shopit,https://shopit.co.ke/images/thumbnails/270/270/detailed/114/black.png.jpg
Realme 10 8GB 256GB Mobile Phone,"Ksh35,000","(Ksh40,600 Inc VAT)",Shopit,https://shopit.co.ke/images/thumbnails/270/270/detailed/115/white-7e6a0f537b.png.jpg
Yealink SIP-T33G Classic Business IP Phone,"Ksh12,000","(Ksh13,920 Inc VAT)",Shopit,https://shopit.co.ke/images/thumbnails/270/270/detailed/86/Yealink-T33G-Desk-Phone_grande.png.jpg
Nokia 105 AE Mobile Phone,"Ksh2,400","(Ksh2,784 Inc VAT)",Shopit,https://shopit.co.ke/images/thumbnails/270/270/detailed/105/nokia-105-africa_edition-charcoal-front_back.png.jpg
Yealink SIP-T56A Android Smart Media IP Phone,"Ksh33,000","(Ksh38,280 Inc VAT)",Shopit,https://shopit.co.ke/images/thumbnails/270/270/detailed/87/yealink-t56a-image.jpg.jpg
Apple iPhone 14 Pro Max 128GB Mobile Phone,"Ksh180,000","(Ksh208,800 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Yealink SIP-T31P IP Phone,"Ksh7,000","(Ksh8,120 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Thuraya XT Lite Satellite Phone,"Ksh138,000","(Ksh160,080 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Baofeng BF-888S Radio Phone (a pair),"Ksh6,500","(Ksh7,540 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Apple iPhone 14 Pro Max 256GB Mobile Phone,"Ksh190,000","(Ksh220,400 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Logitech Group Expansion Microphones for Video and Audio Conferencing,"Ksh35,000","(Ksh40,600 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Yealink VC800-Phone-WP Video Conferencing System,"Ksh730,000","(Ksh846,800 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Yealink SIP-T42S IP Phone,"Ksh17,000","(Ksh19,720 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Sony WH-1000XM5 Wireless Noise Cancelling Headphones,"Ksh45,000","(Ksh52,200 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Thuraya XT Pro Dual Satellite Phone,"Ksh212,000","(Ksh245,920 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Iridium Extreme 9575 PTT Satellite Phone,"Ksh240,000","(Ksh278,400 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Samsung Galaxy Buds 2 Wireless Earbuds,"Ksh11,000","(Ksh12,760 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Grandstream HT701 Analog Telephone Adapter,"Ksh4,800","(Ksh5,568 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Oppo Reno 10 Pro 5G 12GB 256GB Mobile Phone,"Ksh65,500","(Ksh75,980 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Panasonic KX-TS500 Analog Phone,"Ksh3,500","(Ksh4,060 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Panasonic Kx-tpa65 Wireless Desk Phone,"Ksh17,500","(Ksh20,300 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
D-Link 2 port Analog VoIP Telephone Adapter,"Ksh7,899","(Ksh9,163 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Baofeng BF-888S Radio Phone (1 piece),"Ksh3,500","(Ksh4,060 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
JBL Tune 110 Wired Earphones,"Ksh1,600","(Ksh1,856 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Realme C55 8GB 256GB Mobile Phone,"Ksh25,500","(Ksh29,580 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Grandstream GXP1610 IP Phone,"Ksh5,500","(Ksh6,380 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Grandstream GS-HT814 4 Port Ata Analog Telephone Adapter,"Ksh11,730","(Ksh13,607 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Panasonic Kx-dt546 Digital Phone,"Ksh26,000","(Ksh30,160 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Motorola TLKR T82 Portable Radio Phone,"Ksh24,000","(Ksh27,840 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Grandstream GXV3380 IP Video Phone,"Ksh45,000","(Ksh52,200 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Yealink T41S Ultra Elegant gigabit Ip Phone,"Ksh14,800","(Ksh17,168 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Boya BY-M1DM Dual Lavalier Microphone,"Ksh3,400","(Ksh3,944 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Hikvision DS-U02 2MP Full HD Webcam with Microphone,"Ksh5,000","(Ksh5,800 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Panasonic Kx-nt551xb IP Phone,"Ksh18,000","(Ksh20,880 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
ETS 6588 GSM Fixed Wireless Dual Sim Card Phone,"Ksh5,500","(Ksh6,380 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
Boya BY-M1 Pro Omni Directional Lavalier Microphone,"Ksh4,800","(Ksh5,568 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
BNK X75 4 Channel Wireless Microphone,"Ksh25,000","(Ksh29,000 Inc VAT)",Shopit,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAQAAAAD+Fb1AAAADklEQVR42mNkgAJG3AwAAH4ABWjFc8IAAAAASUVORK5CYII="
